Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,6.4e-05,
Filter Frequency,7e+07,
Record Length,3124,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.1
Label,,
TIME,CH1,CH2
-1.0060e-01,0.182813,0.0842969
-1.0054e-01,0.149219,0.079375
-1.0047e-01,0.120625,0.0766094
-1.0041e-01,0.0848438,0.0727656
-1.0034e-01,0.0525,0.0677813
-1.0028e-01,0.0260938,0.064375
-1.0022e-01,-0.00812499,0.0608281
-1.0015e-01,-0.03875,0.0567969
-1.0009e-01,-0.074375,0.0524844
-1.0002e-01,-0.0995312,0.0491094
-9.9960e-02,-0.1225,0.0449688
-9.9896e-02,-0.15875,0.0407813
-9.9832e-02,-0.189375,0.0370469
-9.9768e-02,-0.210312,0.0297656
-9.9704e-02,-0.239375,0.0269688
-9.9640e-02,-0.274219,0.0224063
-9.9576e-02,-0.302031,0.0187344
-9.9512e-02,-0.326875,0.0145469
-9.9448e-02,-0.356719,0.0104844
-9.9384e-02,-0.388594,0.0070625
-9.9320e-02,-0.401094,0.002875
-9.9256e-02,-0.432031,-0.00028125
-9.9192e-02,-0.448594,-0.0059375
-9.9128e-02,-0.47875,-0.00934375
-9.9064e-02,-0.506094,-0.0125781
-9.9000e-02,-0.523281,-0.0178281
-9.8936e-02,-0.551719,-0.0236563
-9.8872e-02,-0.57125,-0.0264531
-9.8808e-02,-0.60375,-0.031125
-9.8744e-02,-0.632656,-0.0363594
-9.8680e-02,-0.647344,-0.0396406
-9.8616e-02,-0.675,-0.0442969
-9.8552e-02,-0.694687,-0.047875
-9.8488e-02,-0.730156,-0.0519531
-9.8424e-02,-0.761719,-0.0560938
-9.8360e-02,-0.774531,-0.0595
-9.8296e-02,-0.79875,-0.0626875
-9.8232e-02,-0.826875,-0.0674688
-9.8168e-02,-0.847656,-0.0724688
-9.8104e-02,-0.876406,-0.0756875
-9.8040e-02,-0.90875,-0.0796406
-9.7976e-02,-0.92625,-0.08375
-9.7912e-02,-0.951562,-0.0883281
-9.7848e-02,-0.970937,-0.0909688
