V-A Characteristics 1.6.5

Experiment
Bachleitner

L E G E N D
	Si-Diode

U [V]	I [mA]
-1,280	0,0000
-1,260	0,0000
-1,249	0,0000
-1,235	0,0000
-1,210	0,0000
-1,205	0,0000
-1,200	0,0000
-1,185	0,0000
-1,170	0,0000
-1,160	0,0000
-1,150	0,0000
-1,140	0,0000
-1,130	0,0000
-1,120	0,0000
-1,110	0,0000
-1,100	0,0000
-1,090	0,0000
-1,080	0,0000
-1,070	0,0000
-1,059	0,0000
-1,047	0,0000
-1,035	0,0000
-1,023	0,0000
-1,011	0,0000
-1,000	0,0000
-0,990	0,0000
-0,980	0,0000
-0,970	0,0000
-0,960	0,0000
-0,950	0,0000
-0,940	0,0000
-0,930	0,0000
-0,920	0,0000
-0,909	0,0000
-0,897	0,0000
-0,885	0,0000
-0,873	0,0000
-0,861	0,0000
-0,851	0,0000
-0,841	0,0000
-0,833	0,0000
-0,825	0,0000
-0,817	0,0000
-0,808	0,0000
-0,797	0,0000
-0,785	0,0000
-0,772	0,0000
-0,760	0,0000
-0,748	0,0000
-0,735	0,0000
-0,723	0,0000
-0,710	0,0000
-0,698	0,0000
-0,685	0,0000
-0,673	0,0000
-0,662	0,0000
-0,653	0,0000
-0,644	0,0000
-0,634	0,0000
-0,624	0,0000
-0,613	0,0000
-0,601	0,0000
-0,590	0,0000
-0,579	0,0000
-0,567	0,0000
-0,555	0,0000
-0,543	0,0000
-0,531	0,0000
-0,520	0,0000
-0,510	0,0000
-0,500	0,0000
-0,490	0,0000
-0,480	0,0000
-0,470	0,0000
-0,460	0,0000
-0,450	0,0000
-0,440	0,0000
-0,430	0,0000
-0,420	0,0000
-0,410	0,0000
-0,400	0,0000
-0,390	0,0000
-0,380	0,0000
-0,370	0,0000
-0,360	0,0000
-0,350	0,0000
-0,340	0,0000
-0,329	0,0000
-0,317	0,0000
-0,305	0,0000
-0,292	0,0000
-0,280	0,0000
-0,268	0,0000
-0,255	0,0000
-0,243	0,0000
-0,231	0,0000
-0,220	0,0000
-0,210	0,0000
-0,200	0,0000
-0,190	0,0000
-0,180	0,0000
-0,170	0,0000
-0,160	0,0000
-0,150	0,0000
-0,140	0,0000
-0,129	0,0000
-0,117	0,0000
-0,105	0,0000
-0,093	0,0000
-0,080	0,0000
-0,068	0,0000
-0,055	0,0000
-0,043	0,0000
-0,031	0,0000
-0,020	0,0000
-0,010	0,0000
0,000	0,0000
0,010	0,0000
0,020	0,0000
0,030	0,0000
0,040	0,0000
0,050	0,0000
0,060	0,0000
0,070	0,0000
0,080	0,0000
0,091	0,0000
0,103	0,0000
0,114	0,0000
0,124	0,0000
0,134	0,0000
0,143	0,0000
0,151	0,0000
0,160	0,0000
0,170	0,0000
0,180	0,0000
0,191	0,0000
0,203	0,0000
0,215	0,0000
0,228	0,0000
0,240	0,0000
0,253	0,0000
0,265	0,0000
0,277	0,0000
0,289	0,0000
0,300	0,0000
0,310	0,0000
0,320	0,0003
0,330	0,0013
0,340	0,0028
0,350	0,0050
0,360	0,0072
0,370	0,0088
0,380	0,0100
0,389	0,0113
0,397	0,0128
0,405	0,0150
0,413	0,0175
0,421	0,0200
0,430	0,0228
0,439	0,0263
0,447	0,0303
0,454	0,0350
0,460	0,0400
0,465	0,0450
0,470	0,0500
0,475	0,0550
0,480	0,0603
0,485	0,0663
0,490	0,0731
0,495	0,0813
0,500	0,0905
0,505	0,1006
0,510	0,1119
0,515	0,1244
0,520	0,1384
0,525	0,1544
0,530	0,1717
0,535	0,1900
0,540	0,2093
0,545	0,2299
0,550	0,2529
0,555	0,2796
0,560	0,3101
0,565	0,3441
0,570	0,3815
0,575	0,4219
0,580	0,4667
0,585	0,5171
0,590	0,5735
0,595	0,6365
0,600	0,7051
0,605	0,7786
0,610	0,8576
0,615	0,9423
0,620	1,0278
0,625	1,1088
0,630	1,1769
0,635	1,2238
0,640	1,2700
0,645	1,2650
0,650	1,2688
0,655	1,2700
0,660	1,2700
0,665	1,2700
0,670	1,2700
0,675	1,2700
0,679	1,2700
0,682	1,2700
0,690	1,2700
