V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	Ausgangskennlinienfeld
M2	
M3	
M4	

M1 - U [V]	M1 - I [µA]	M2 - U [V]	M2 - I [µA]	M3 - U [V]	M3 - I [µA]	M4 - U [V]	M4 - I [µA]
0,010	0,00	0,010	0,00	0,010	0,00	0,010	0,00
0,019	1,54	0,018	1,08	0,018	1,54	0,018	1,08
0,024	2,20	0,021	1,73	0,021	2,23	0,021	1,77
0,030	3,00	0,025	2,63	0,025	3,13	0,025	2,75
0,037	3,97	0,030	3,75	0,030	4,34	0,030	4,10
0,044	4,88	0,035	4,88	0,035	5,75	0,035	5,67
0,050	5,75	0,040	6,00	0,040	7,31	0,040	7,43
0,055	6,63	0,045	7,13	0,045	9,00	0,045	9,38
0,060	7,56	0,050	8,29	0,050	10,78	0,050	11,52
0,065	8,63	0,055	9,54	0,055	12,63	0,055	13,88
0,070	9,78	0,060	10,86	0,060	14,55	0,060	16,49
0,075	11,00	0,065	12,25	0,065	16,58	0,065	19,42
0,080	12,32	0,070	13,77	0,070	18,73	0,070	22,75
0,085	13,79	0,075	15,50	0,075	21,00	0,075	26,58
0,090	15,43	0,080	17,43	0,080	23,48	0,080	30,89
0,095	17,25	0,085	19,54	0,085	26,25	0,085	35,63
0,100	19,08	0,090	21,79	0,090	29,26	0,090	40,60
0,105	20,75	0,095	24,13	0,095	32,46	0,095	45,63
0,110	22,21	0,100	26,62	0,100	35,74	0,100	50,55
0,115	23,42	0,105	29,35	0,105	39,00	0,105	55,26
0,120	24,54	0,110	32,29	0,110	42,34	0,110	59,98
0,125	25,75	0,115	35,43	0,115	45,88	0,115	64,97
0,130	27,06	0,120	38,60	0,120	49,66	0,120	70,44
0,135	28,50	0,125	41,68	0,125	53,77	0,125	76,61
0,140	29,97	0,130	44,61	0,130	58,08	0,130	83,12
0,145	31,38	0,135	47,35	0,135	62,45	0,135	89,63
0,150	32,66	0,140	49,87	0,140	66,74	0,140	95,93
0,155	33,75	0,145	52,13	0,145	70,82	0,145	101,82
0,160	34,69	0,150	54,13	0,150	74,67	0,150	107,50
0,165	35,50	0,155	55,88	0,155	78,27	0,155	113,17
0,170	36,28	0,160	57,47	0,160	81,63	0,160	118,74
0,175	37,13	0,165	59,00	0,165	84,75	0,165	124,13
0,180	38,03	0,170	60,47	0,170	87,63	0,170	129,15
0,185	39,00	0,175	61,88	0,175	90,25	0,175	133,63
0,190	39,94	0,180	63,22	0,180	92,59	0,180	137,61
0,196	40,75	0,185	64,50	0,185	94,63	0,185	141,17
0,203	41,44	0,190	65,66	0,190	96,38	0,190	144,35
0,210	42,00	0,195	66,63	0,195	97,88	0,195	147,25
0,218	42,50	0,200	67,41	0,200	99,19	0,200	149,88
0,225	43,00	0,205	68,00	0,205	100,38	0,205	152,25
0,233	43,44	0,210	68,56	0,210	101,47	0,210	154,38
0,240	43,75	0,215	69,25	0,216	102,50	0,215	156,25
0,248	43,94	0,220	70,00	0,223	103,47	0,220	157,94
0,255	44,00	0,226	70,75	0,230	104,38	0,225	159,50
0,263	44,00	0,233	71,38	0,237	105,13	0,230	160,91
0,271	44,00	0,240	71,75	0,244	105,63	0,235	162,13
0,280	44,00	0,248	71,94	0,250	105,97	0,240	163,13
0,290	44,00	0,255	72,00	0,255	106,25	0,245	163,88
0,300	44,00	0,263	72,00	0,260	106,56	0,250	164,53
0,310	44,00	0,271	72,00	0,265	107,00	0,255	165,25
0,320	44,00	0,280	72,06	0,270	107,50	0,260	166,00
0,330	44,00	0,289	72,25	0,276	108,00	0,265	166,75
0,340	44,00	0,297	72,56	0,283	108,50	0,270	167,38
0,350	44,00	0,305	73,00	0,291	109,00	0,276	167,75
0,360	44,00	0,313	73,44	0,300	109,44	0,283	168,00
0,370	44,00	0,321	73,75	0,310	109,75	0,290	168,25
