V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	
M2	

M1 - U [V]	M1 - I [mA]	M2 - U [V]	M2 - I [mA]	M3 - U [V]	M3 - I [mA]	M4 - U [V]	M4 - I [mA]
1,460	2,3600	1,840	2,3600				
1,445	2,3600	1,825	2,3600				
1,438	2,3600	1,818	2,3600				
1,430	2,3600	1,810	2,3600				
1,420	2,3600	1,800	2,3600				
1,410	2,3600	1,790	2,3600				
1,400	2,3600	1,780	2,3600				
1,390	2,3600	1,770	2,3600				
1,380	2,3600	1,760	2,3600				
1,370	2,3600	1,750	2,3600				
1,360	2,3600	1,740	2,3600				
1,350	2,3600	1,730	2,3600				
1,340	2,3600	1,720	2,3600				
1,330	2,3600	1,710	2,3600				
1,320	2,3600	1,700	2,3600				
1,310	2,3600	1,690	2,3600				
1,300	2,3583	1,680	2,3600				
1,290	2,3533	1,670	2,3600				
1,280	2,3426	1,660	2,3600				
1,270	2,3237	1,650	2,3600				
1,260	2,2977	1,640	2,3600				
1,250	2,2653	1,630	2,3600				
1,240	2,2286	1,620	2,3600				
1,230	2,1899	1,610	2,3600				
1,220	2,1494	1,600	2,3600				
1,210	2,1074	1,590	2,3600				
1,200	2,0644	1,580	2,3589				
1,190	2,0209	1,570	2,3556				
1,180	1,9779	1,560	2,3483				
1,170	1,9365	1,550	2,3350				
1,160	1,8964	1,540	2,3163				
1,150	1,8573	1,530	2,2925				
1,140	1,8183	1,520	2,2657				
1,130	1,7785	1,510	2,2377				
1,120	1,7378	1,500	2,2091				
1,110	1,6960	1,490	2,1801				
1,100	1,6538	1,480	2,1515				
1,090	1,6118	1,470	2,1239				
1,080	1,5703	1,460	2,0977				
1,070	1,5297	1,450	2,0734				
1,060	1,4893	1,440	2,0492				
1,050	1,4485	1,430	2,0234				
1,040	1,4068	1,420	1,9958				
1,030	1,3635	1,410	1,9664				
1,020	1,3198	1,400	1,9365				
1,010	1,2768	1,390	1,9076				
1,000	1,2352	1,380	1,8795				
0,990	1,1960	1,370	1,8517				
0,980	1,1585	1,360	1,8239				
0,970	1,1219	1,350	1,7954				
0,960	1,0859	1,340	1,7665				
0,950	1,0500	1,330	1,7374				
0,940	1,0138	1,320	1,7083				
0,930	0,9764	1,310	1,6796				
0,920	0,9379	1,300	1,6515				
0,910	0,8982	1,290	1,6245				
0,900	0,8587	1,280	1,5982				
0,890	0,8203	1,270	1,5723				
0,880	0,7829	1,260	1,5460				
0,870	0,7464	1,250	1,5187				
0,860	0,7106	1,240	1,4911				
0,850	0,6756	1,230	1,4642				
0,840	0,6413	1,220	1,4377				
0,830	0,6076	1,210	1,4117				
0,820	0,5744	1,200	1,3849				
0,810	0,5416	1,190	1,3557				
0,800	0,5089	1,180	1,3255				
0,790	0,4761	1,170	1,2957				
0,780	0,4429	1,160	1,2677				
0,770	0,4090	1,150	1,2430				
0,760	0,3759	1,140	1,2201				
0,750	0,3449	1,130	1,1975				
0,740	0,3160	1,120	1,1738				
0,730	0,2891	1,110	1,1475				
0,720	0,2633	1,100	1,1196				
0,710	0,2373	1,090	1,0908				
0,700	0,2120	1,080	1,0620				
0,690	0,1881	1,070	1,0337				
0,680	0,1664	1,060	1,0060				
0,670	0,1475	1,050	0,9788				
0,660	0,1306	1,040	0,9521				
0,650	0,1150	1,030	0,9263				
0,640	0,1002	1,020	0,9010				
0,630	0,0858	1,010	0,8762				
0,620	0,0720	1,000	0,8515				
0,610	0,0588	0,990	0,8263				
0,600	0,0467	0,980	0,8008				
0,590	0,0363	0,970	0,7754				
0,580	0,0276	0,960	0,7500				
0,570	0,0208	0,950	0,7246				
0,560	0,0152	0,940	0,6992				
0,550	0,0100	0,930	0,6737				
0,540	0,0000	0,920	0,6482				
0,530	0,0025	0,910	0,6225				
0,520	0,0006	0,900	0,5965				
0,510	0,0000	0,890	0,5700				
0,500	0,0000	0,880	0,5440				
0,490	0,0000	0,870	0,5192				
0,479	0,0000	0,860	0,4954				
0,468	0,0000	0,850	0,4725				
0,454	0,0000	0,840	0,4496				
0,440	0,0000	0,830	0,4258				
0,425	0,0000	0,820	0,4021				
0,410	0,0000	0,810	0,3792				
0,394	0,0000	0,800	0,3575				
0,378	0,0000	0,790	0,3375				
0,359	0,0000	0,780	0,3183				
0,340	0,0000	0,770	0,2992				
0,319	0,0000	0,760	0,2798				
0,297	0,0000	0,750	0,2600				
0,274	0,0000	0,740	0,2400				
0,250	0,0000	0,730	0,2200				
0,226	0,0000	0,720	0,2003				
0,203	0,0000	0,710	0,1812				
0,181	0,0000	0,700	0,1631				
0,160	0,0000	0,690	0,1462				
0,141	0,0000	0,680	0,1303				
0,123	0,0000	0,670	0,1150				
0,106	0,0000	0,660	0,1006				
0,090	0,0000	0,650	0,0875				
0,075	0,0000	0,640	0,0759				
0,060	0,0000	0,630	0,0663				
0,046	0,0000	0,620	0,0575				
0,033	0,0000	0,610	0,0488				
0,021	0,0000	0,600	0,0403				
0,010	0,0000	0,590	0,0325				
0,000	0,0000	0,580	0,0256				
-0,010	0,0000	0,570	0,0200				
-0,020	0,0000	0,560	0,0150				
-0,030	0,0000	0,550	0,0100				
-0,040	0,0000	0,540	0,0000				
-0,050	0,0000	0,530	0,0025				
-0,059	0,0000	0,520	0,0006				
-0,065	0,0000	0,510	0,0000				
-0,068	0,0000	0,500	0,0000				
-0,065	0,0000	0,490	0,0000				
-0,058	0,0000	0,480	0,0000				
-0,048	0,0000	0,470	0,0000				
-0,034	0,0000	0,460	0,0000				
-0,018	0,0000	0,450	0,0000				
0,000	0,0000	0,440	0,0000				
0,001	0,0000	0,430	0,0000				
0,023	0,0000	0,420	0,0000				
0,046	0,0000	0,410	0,0000				
