V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
	Diodenkennlinie des Transistors

U [mV]	I [mA]
0,0	0,0000
2,3	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,5	0,0000
2,8	0,0000
3,8	0,0000
5,0	0,0000
6,3	0,0000
7,2	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,8	0,0000
8,8	0,0000
10,0	0,0000
11,3	0,0000
11,9	0,0000
11,3	0,0000
10,0	0,0000
8,8	0,0000
7,8	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,5	0,0000
7,8	0,0000
8,8	0,0000
10,0	0,0000
11,3	0,0000
12,2	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,5	0,0000
12,8	0,0000
13,8	0,0000
15,0	0,0003
16,3	0,0010
17,2	0,0023
17,5	0,0043
17,8	0,0065
18,8	0,0086
20,3	0,0106
22,5	0,0127
25,0	0,0149
27,5	0,0175
30,0	0,0204
32,5	0,0236
35,0	0,0270
37,5	0,0310
40,0	0,0355
42,5	0,0407
45,0	0,0463
47,5	0,0519
50,0	0,0571
52,5	0,0615
55,0	0,0656
57,5	0,0699
60,0	0,0743
62,5	0,0789
65,0	0,0833
67,5	0,0874
70,0	0,0914
72,5	0,0956
75,0	0,1003
77,5	0,1054
80,0	0,1110
82,5	0,1171
85,0	0,1233
87,5	0,1296
90,0	0,1355
92,5	0,1408
95,0	0,1455
97,5	0,1496
100,0	0,1535
102,5	0,1577
105,0	0,1625
107,5	0,1682
110,0	0,1743
112,5	0,1803
115,0	0,1858
117,5	0,1903
120,0	0,1944
122,5	0,1984
125,0	0,2029
127,5	0,2083
130,0	0,2143
132,5	0,2206
135,0	0,2271
137,5	0,2335
140,0	0,2401
142,5	0,2468
145,0	0,2532
147,5	0,2591
150,0	0,2642
152,5	0,2686
155,0	0,2728
157,5	0,2772
160,0	0,2818
162,5	0,2867
165,0	0,2919
167,5	0,2975
170,0	0,3033
172,5	0,3092
175,0	0,3149
177,5	0,3204
180,0	0,3262
182,5	0,3327
185,0	0,3396
187,5	0,3467
190,0	0,3533
192,5	0,3592
195,0	0,3644
197,5	0,3694
200,0	0,3743
202,5	0,3796
205,0	0,3851
207,5	0,3906
210,0	0,3962
212,5	0,4019
215,0	0,4076
217,5	0,4133
220,0	0,4192
222,5	0,4250
225,0	0,4309
227,5	0,4371
230,0	0,4432
232,5	0,4491
235,0	0,4547
237,5	0,4601
240,0	0,4657
242,5	0,4718
245,0	0,4780
247,5	0,4841
250,0	0,4900
252,5	0,4958
255,0	0,5017
257,5	0,5075
260,0	0,5129
262,5	0,5175
265,0	0,5218
267,5	0,5263
270,0	0,5311
272,5	0,5367
275,0	0,5427
277,5	0,5491
280,0	0,5559
282,5	0,5632
285,0	0,5706
287,5	0,5776
290,0	0,5840
292,5	0,5897
295,0	0,5949
297,5	0,5998
300,0	0,6046
302,5	0,6096
305,0	0,6148
307,5	0,6206
310,0	0,6266
312,5	0,6325
315,0	0,6383
317,5	0,6440
320,0	0,6497
322,5	0,6556
325,0	0,6614
327,5	0,6665
330,0	0,6714
332,5	0,6765
335,0	0,6820
337,5	0,6881
340,0	0,6948
342,5	0,7019
344,5	0,7078
346,2	0,7133
350,0	0,7300
