V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	
M2	
M3	
M4	

M1 - U [V]	M1 - I [mA]	M2 - U [V]	M2 - I [mA]	M3 - U [V]	M3 - I [mA]	M4 - U [V]	M4 - I [mA]
0,000	0,0000	0,000	0,0000	0,000	0,0000	0,000	0,0000
0,038	0,1498	0,038	0,1257	0,038	0,0692	0,038	0,0236
0,055	0,2130	0,055	0,1772	0,055	0,0965	0,055	0,0321
0,075	0,2882	0,075	0,2372	0,075	0,1272	0,075	0,0407
0,100	0,3803	0,100	0,3092	0,100	0,1630	0,100	0,0497
0,125	0,4688	0,125	0,3758	0,125	0,1944	0,125	0,0559
0,150	0,5539	0,150	0,4371	0,150	0,2217	0,150	0,0604
0,175	0,6355	0,175	0,4932	0,175	0,2453	0,175	0,0645
0,200	0,7137	0,200	0,5453	0,200	0,2654	0,200	0,0684
0,225	0,7885	0,225	0,5945	0,225	0,2822	0,225	0,0725
0,250	0,8600	0,250	0,6411	0,250	0,2962	0,250	0,0760
0,275	0,9281	0,275	0,6853	0,275	0,3081	0,275	0,0783
0,300	0,9934	0,300	0,7266	0,300	0,3182	0,300	0,0796
0,325	1,0564	0,325	0,7646	0,325	0,3268	0,325	0,0800
0,350	1,1166	0,350	0,7993	0,350	0,3339	0,350	0,0800
0,375	1,1736	0,375	0,8308	0,375	0,3398	0,375	0,0800
0,400	1,2268	0,400	0,8589	0,400	0,3449	0,400	0,0805
0,425	1,2753	0,425	0,8838	0,425	0,3500	0,425	0,0820
0,450	1,3200	0,450	0,9057	0,450	0,3545	0,450	0,0846
0,475	1,3619	0,475	0,9246	0,475	0,3579	0,475	0,0885
0,500	1,4014	0,500	0,9413	0,500	0,3608	0,500	0,0926
0,525	1,4389	0,525	0,9565	0,525	0,3638	0,525	0,0960
0,550	1,4746	0,550	0,9706	0,550	0,3671	0,550	0,0984
0,575	1,5083	0,575	0,9840	0,575	0,3713	0,575	0,0995
0,600	1,5397	0,600	0,9964	0,600	0,3752	0,600	0,0999
0,625	1,5685	0,625	1,0079	0,625	0,3779	0,625	0,1000
0,650	1,5943	0,650	1,0181	0,650	0,3795	0,650	0,1000
0,675	1,6165	0,675	1,0267	0,675	0,3800	0,675	0,1000
0,700	1,6360	0,700	1,0338	0,700	0,3800	0,700	0,1000
0,725	1,6538	0,725	1,0397	0,725	0,3800	0,725	0,1000
0,750	1,6707	0,750	1,0449	0,750	0,3806	0,750	0,1000
0,775	1,6874	0,775	1,0500	0,775	0,3825	0,775	0,1000
0,800	1,7035	0,800	1,0549	0,800	0,3856	0,800	0,1000
0,825	1,7188	0,825	1,0597	0,825	0,3900	0,825	0,1000
0,850	1,7330	0,850	1,0644	0,850	0,3944	0,850	0,1000
0,875	1,7461	0,875	1,0691	0,875	0,3975	0,875	0,1000
0,900	1,7581	0,900	1,0733	0,900	0,3994	0,900	0,1000
0,925	1,7693	0,925	1,0766	0,925	0,4000	0,925	0,1000
0,950	1,7793	0,950	1,0794	0,950	0,4000	0,950	0,1000
0,975	1,7879	0,975	1,0822	0,975	0,4000	0,975	0,1000
1,000	1,7952	1,000	1,0855	1,000	0,4000	1,000	0,1002
1,025	1,8013	1,025	1,0900	1,025	0,4000	1,025	0,1010
1,050	1,8069	1,050	1,0944	1,050	0,4000	1,050	0,1026
1,075	1,8129	1,075	1,0975	1,075	0,4000	1,075	0,1055
1,100	1,8192	1,100	1,0994	1,100	0,4000	1,100	0,1091
1,125	1,8254	1,125	1,1000	1,125	0,4000	1,125	0,1130
1,150	1,8309	1,150	1,1000	1,150	0,4000	1,150	0,1164
1,175	1,8350	1,175	1,1000	1,175	0,4000	1,175	0,1185
1,200	1,8383	1,200	1,1003	1,200	0,4000	1,200	0,1196
1,225	1,8417	1,225	1,1013	1,225	0,4000	1,225	0,1200
1,250	1,8454	1,250	1,1031	1,250	0,4006	1,250	0,1200
1,275	1,8500	1,275	1,1062	1,275	0,4025	1,275	0,1200
1,300	1,8544	1,300	1,1100	1,300	0,4056	1,300	0,1200
1,325	1,8575	1,325	1,1138	1,325	0,4100	1,325	0,1200
1,350	1,8596	1,350	1,1169	1,350	0,4144	1,350	0,1200
1,375	1,8610	1,375	1,1188	1,375	0,4175	1,375	0,1200
1,400	1,8626	1,400	1,1197	1,400	0,4194	1,400	0,1200
1,425	1,8655	1,425	1,1200	1,425	0,4200	1,425	0,1200
1,450	1,8691	1,450	1,1200	1,450	0,4200	1,450	0,1200
1,475	1,8730	1,475	1,1200	1,475	0,4200	1,475	0,1200
1,500	1,8764	1,500	1,1200	1,500	0,4200	1,500	0,1200
1,525	1,8785	1,525	1,1200	1,525	0,4200	1,525	0,1200
1,550	1,8796	1,550	1,1200	1,550	0,4200	1,550	0,1200
1,575	1,8800	1,575	1,1200	1,575	0,4200	1,575	0,1200
1,600	1,8801	1,600	1,1206	1,600	0,4200	1,600	0,1200
1,625	1,8805	1,625	1,1225	1,625	0,4200	1,625	0,1200
1,650	1,8816	1,650	1,1256	1,650	0,4200	1,650	0,1200
1,675	1,8840	1,675	1,1300	1,675	0,4200	1,675	0,1200
1,700	1,8874	1,700	1,1344	1,700	0,4200	1,700	0,1200
1,725	1,8915	1,725	1,1375	1,725	0,4200	1,725	0,1200
1,750	1,8954	1,750	1,1394	1,750	0,4200	1,750	0,1200
1,775	1,8980	1,775	1,1400	1,775	0,4200	1,775	0,1200
1,800	1,8995	1,800	1,1400	1,800	0,4200	1,800	0,1200
1,825	1,9000	1,825	1,1400	1,825	0,4200	1,825	0,1200
1,850	1,9000	1,850	1,1400	1,850	0,4200	1,850	0,1200
1,875	1,9000	1,875	1,1400	1,875	0,4200	1,875	0,1200
1,900	1,9000	1,900	1,1400	1,900	0,4200	1,900	0,1200
1,925	1,9000	1,925	1,1400	1,925	0,4200	1,925	0,1200
1,950	1,9000	1,950	1,1400	1,950	0,4200	1,950	0,1200
1,975	1,9000	1,975	1,1400	1,975	0,4200	1,975	0,1200
2,000	1,9000	2,000	1,1400	2,000	0,4200	2,000	0,1200
2,025	1,9000	2,025	1,1400	2,025	0,4200	2,025	0,1200
2,050	1,9005	2,050	1,1400	2,050	0,4200	2,050	0,1200
2,075	1,9020	2,075	1,1400	2,075	0,4200	2,075	0,1200
2,100	1,9046	2,100	1,1400	2,100	0,4205	2,100	0,1200
2,125	1,9085	2,125	1,1400	2,125	0,4220	2,125	0,1200
2,150	1,9126	2,150	1,1400	2,150	0,4246	2,150	0,1200
2,175	1,9160	2,175	1,1400	2,175	0,4285	2,175	0,1200
2,200	1,9184	2,200	1,1400	2,200	0,4326	2,200	0,1200
2,225	1,9195	2,225	1,1400	2,225	0,4360	2,225	0,1200
2,250	1,9199	2,250	1,1405	2,250	0,4384	2,250	0,1200
2,275	1,9200	2,275	1,1420	2,275	0,4395	2,275	0,1200
2,300	1,9200	2,300	1,1446	2,300	0,4399	2,300	0,1200
2,325	1,9200	2,325	1,1485	2,325	0,4400	2,325	0,1200
2,350	1,9200	2,350	1,1526	2,350	0,4400	2,350	0,1200
2,375	1,9200	2,375	1,1560	2,375	0,4400	2,375	0,1200
2,400	1,9200	2,400	1,1584	2,400	0,4400	2,400	0,1201
2,425	1,9200	2,425	1,1595	2,425	0,4400	2,425	0,1205
2,450	1,9200	2,450	1,1599	2,450	0,4400	2,450	0,1216
2,475	1,9200	2,475	1,1600	2,475	0,4400	2,475	0,1240
2,500	1,9200	2,500	1,1600	2,500	0,4400	2,500	0,1274
2,525	1,9200	2,525	1,1600	2,525	0,4400	2,525	0,1315
2,550	1,9200	2,550	1,1600	2,550	0,4400	2,550	0,1400
2,575	1,9200	2,575	1,1600	2,575	0,4400	2,575	0,1361
2,600	1,9200	2,600	1,1600	2,600	0,4400	2,600	0,1357
2,625	1,9200	2,625	1,1600	2,625	0,4400	2,625	0,1344
2,650	1,9200	2,650	1,1600	2,650	0,4400	2,650	0,1334
2,675	1,9200	2,675	1,1600	2,675	0,4400	2,675	0,1344
2,700	1,9206	2,700	1,1600	2,700	0,4400	2,700	0,1363
2,725	1,9225	2,725	1,1600	2,725	0,4400	2,725	0,1381
2,750	1,9256	2,750	1,1600	2,750	0,4400	2,750	0,1395
2,775	1,9300	2,775	1,1600	2,775	0,4400	2,775	0,1400
2,800	1,9400	2,800	1,1600	2,800	0,4400	2,800	0,1400
2,825	1,9375	2,825	1,1600	2,825	0,4400	2,825	0,1400
2,850	1,9394	2,850	1,1600	2,850	0,4400	2,850	0,1400
2,875	1,9400	2,875	1,1600	2,875	0,4400	2,875	0,1400
2,900	1,9400	2,900	1,1600	2,900	0,4400	2,900	0,1400
2,925	1,9400	2,925	1,1600	2,925	0,4400	2,925	0,1400
2,950	1,9400	2,950	1,1600	2,950	0,4400	2,950	0,1400
2,975	1,9400	2,975	1,1600	2,975	0,4400	2,975	0,1400
2,995	1,9400	3,000	1,1600	3,000	0,4400	3,000	0,1400
3,012	1,9400	3,025	1,1600	3,025	0,4400	3,025	0,1400
3,050	1,9400	3,050	1,1600	3,050	0,4400	3,050	0,1400
		3,075	1,1600	3,075	0,4400	3,075	0,1400
		3,100	1,1600	3,100	0,4400	3,100	0,1400
		3,125	1,1600	3,125	0,4400	3,125	0,1400
		3,150	1,1600	3,150	0,4400	3,150	0,1400
		3,175	1,1600	3,175	0,4400	3,175	0,1400
		3,200	1,1600	3,200	0,4400	3,200	0,1400
		3,225	1,1600	3,225	0,4400	3,225	0,1400
		3,250	1,1600	3,250	0,4400	3,250	0,1400
		3,275	1,1600	3,275	0,4400	3,275	0,1400
		3,300	1,1604	3,300	0,4400	3,300	0,1400
		3,325	1,1617	3,325	0,4400	3,325	0,1400
		3,350	1,1640	3,350	0,4400	3,350	0,1400
		3,375	1,1675	3,375	0,4400	3,375	0,1400
		3,400	1,1715	3,400	0,4400	3,400	0,1400
		3,425	1,1750	3,425	0,4400	3,425	0,1400
		3,450	1,1800	3,450	0,4400	3,450	0,1400
		3,475	1,1792	3,475	0,4400	3,475	0,1400
		3,500	1,1798	3,500	0,4400	3,500	0,1400
		3,525	1,1800	3,525	0,4400	3,525	0,1400
		3,550	1,1800	3,550	0,4400	3,550	0,1400
		3,575	1,1800	3,575	0,4400	3,575	0,1400
		3,600	1,1800	3,600	0,4405	3,600	0,1400
		3,625	1,1800	3,625	0,4420	3,625	0,1400
		3,650	1,1800	3,650	0,4442	3,650	0,1400
		3,675	1,1800	3,675	0,4466	3,675	0,1400
		3,700	1,1800	3,700	0,4486	3,700	0,1400
		3,725	1,1800	3,725	0,4494	3,725	0,1400
		3,750	1,1800	3,750	0,4498	3,750	0,1400
		3,775	1,1800	3,775	0,4509	3,775	0,1400
		3,795	1,1800	3,800	0,4526	3,800	0,1400
		3,812	1,1800	3,825	0,4551	3,825	0,1400
		3,850	1,1800	3,850	0,4600	3,850	0,1400
				3,875	0,4590	3,875	0,1400
				3,900	0,4598	3,900	0,1400
				3,925	0,4600	3,925	0,1400
				3,950	0,4600	3,950	0,1400
				3,975	0,4600	3,975	0,1400
				4,000	0,4600	4,000	0,1400
				4,025	0,4600	4,025	0,1400
				4,050	0,4600	4,050	0,1400
				4,075	0,4600	4,075	0,1400
				4,100	0,4600	4,100	0,1400
				4,125	0,4600	4,125	0,1400
				4,150	0,4600	4,150	0,1400
				4,175	0,4600	4,175	0,1400
				4,200	0,4600	4,200	0,1400
				4,225	0,4600	4,225	0,1400
				4,250	0,4600	4,250	0,1400
